,id,breed,breed_int,filepath
0,000bec180eb18c7604dcecc8fe0dba07,boston_bull,41,e:\daidai\projects\dog_breed_classifier/input_data/images/train/000bec180eb18c7604dcecc8fe0dba07.jpg
1,001513dfcb2ffafc82cccf4d8bbaba97,dingo,71,e:\daidai\projects\dog_breed_classifier/input_data/images/train/001513dfcb2ffafc82cccf4d8bbaba97.jpg
2,001cdf01b096e06d78e9e5112d419397,pekinese,88,e:\daidai\projects\dog_breed_classifier/input_data/images/train/001cdf01b096e06d78e9e5112d419397.jpg
3,00214f311d5d2247d5dfe4fe24b2303d,bluetick,49,e:\daidai\projects\dog_breed_classifier/input_data/images/train/00214f311d5d2247d5dfe4fe24b2303d.jpg
4,0021f9ceb3235effd7fcde7f7538ed62,golden_retriever,115,e:\daidai\projects\dog_breed_classifier/input_data/images/train/0021f9ceb3235effd7fcde7f7538ed62.jpg
5,002211c81b498ef88e1b40b9abf84e1d,bedlington_terrier,35,e:\daidai\projects\dog_breed_classifier/input_data/images/train/002211c81b498ef88e1b40b9abf84e1d.jpg
6,00290d3e1fdd27226ba27a8ce248ce85,bedlington_terrier,35,e:\daidai\projects\dog_breed_classifier/input_data/images/train/00290d3e1fdd27226ba27a8ce248ce85.jpg
7,002a283a315af96eaea0e28e7163b21b,borzoi,89,e:\daidai\projects\dog_breed_classifier/input_data/images/train/002a283a315af96eaea0e28e7163b21b.jpg
8,003df8b8a8b05244b1d920bb6cf451f9,basenji,8,e:\daidai\projects\dog_breed_classifier/input_data/images/train/003df8b8a8b05244b1d920bb6cf451f9.jpg
9,0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound,0,e:\daidai\projects\dog_breed_classifier/input_data/images/train/0042188c895a2f14ef64a918ed9c7b64.jpg
10,004396df1acd0f1247b740ca2b14616e,shetland_sheepdog,86,e:\daidai\projects\dog_breed_classifier/input_data/images/train/004396df1acd0f1247b740ca2b14616e.jpg
11,0067dc3eab0b3c3ef0439477624d85d6,walker_hound,112,e:\daidai\projects\dog_breed_classifier/input_data/images/train/0067dc3eab0b3c3ef0439477624d85d6.jpg
12,00693b8bc2470375cc744a6391d397ec,maltese_dog,1,e:\daidai\projects\dog_breed_classifier/input_data/images/train/00693b8bc2470375cc744a6391d397ec.jpg
13,006cc3ddb9dc1bd827479569fcdc52dc,bluetick,49,e:\daidai\projects\dog_breed_classifier/input_data/images/train/006cc3ddb9dc1bd827479569fcdc52dc.jpg
