,id,breed,breed_int
177,0428e1ae313156ec06dc42096cf1372c,norwegian_elkhound,25
6225,9d137534989cab3200f2abd6d6409902,bloodhound,50
8954,e0cfa8c273838e25d74970683b285391,pembroke,29
4492,7037652031c91f0b1d77089a1a6f981c,black-and-tan_coonhound,83
2259,386c700bbbf89c2aa068692d83e3a6b4,keeshond,66
1261,1f4be7638f86f04289e75363befcd19f,rhodesian_ridgeback,38
2295,39483e8221f9e7455abcc9d0097688e5,mexican_hairless,69
4821,78f254f10390add2efc337636f181521,wire-haired_fox_terrier,60
5849,939eb0d3ec4ba70f8d9dde67b9ddd7c7,briard,119
3147,4db5e936fae9ba70ecb7e65605ba316b,african_hunting_dog,44
2262,387603961b4002a45c703147e086760a,pomeranian,6
2359,3ad193d212c34fb9e5c77a1dfc99efe1,curly-coated_retriever,100
2753,43bf6ae59d061ede39d52555c79749e0,groenendael,61
8625,d8951830ecd4b5898a6484327dc6f294,papillon,22
7792,c2f82b0c18aba9f04803f72e97126fbf,leonberg,13
6472,a2fcf508524f0601a122d705ea8a34b5,beagle,14
8767,dbb4eaefd7d8c11637d1ee5c2c819427,newfoundland,32
1079,1ad234ed7e26a66994dc71c89cb9810a,pug,26
2929,4868e6dd023cf0d31412362db3b84de8,yorkshire_terrier,63
7710,c0eed44536c5f094235cb78635fa01ae,dandie_dinmont,35
4218,691e38148acf93eb71d7b9fbc777c2ac,tibetan_mastiff,112
3190,4ec829615f7cc33a25c62e8f111db50d,english_setter,55
4101,660e3d56105b467159370bc1bc5e469d,weimaraner,48
6956,ae7ea3acbc17ea070b3da00d6d52be11,soft-coated_wheaten_terrier,105
2488,3e037b3c7265bef653c504a034607889,lhasa,33
6639,a6cfd1852f7821cd0ecf7cf92aff06b3,samoyed,9
9941,f9b7736812c24f6de73012511303fb28,standard_schnauzer,101
4596,72ef6af03c9603ce6ae39475861fdd64,kelpie,45
2205,3759477c2764d4e01d44d5be03b917f6,bluetick,49
3647,5ac2bca9d9b2b8f772e19fd65d5e475c,pug,26
7884,c54c1132c4f2322347fe7e0ae3062c86,malamute,67
4738,76d9f6a0b04ea4997e7c58abef533377,bernese_mountain_dog,4
8987,e1be68b2576ddfceabb23d33ee9e07ef,pekinese,89
5262,848f7a0b665b118e4a3b85029b1794e0,miniature_poodle,74
54,015d86b2fcb36f0fdfbe94a66c0e3400,wire-haired_fox_terrier,60
4983,7d99103701f128d7b3ed24bdcfb6ec25,great_dane,92
1229,1e597523107666ef5152d4006a9fd7c2,lhasa,33
9522,eebf13123af2e0241f64d35f8cddea86,borzoi,88
3897,60e3ba241646a432f7cb58490ee36dbb,pekinese,89
10167,fe9e09be6594f626f0d711bfba10cfe0,mexican_hairless,69
5505,8aee90949d4c1edc9ae570287a53e6f1,west_highland_white_terrier,64
3026,4ad60192d6b880ac4eee7f23d7c26b96,miniature_poodle,74
1240,1ea7adfd17a58475b764cc95431e2315,kerry_blue_terrier,57
3454,55efa71bbff2a39d587fcaebe29aa1e7,basenji,8
10097,fce950ef7cf99efcb26297537bdf5dd4,ibizan_hound,30
6144,9ad7b3b7280073476c05c62c83fdea19,irish_wolfhound,19
6528,a43b07a54777ba55c95736a7f8af1b2d,staffordshire_bullterrier,76
5988,970df71375e17e998d03900b2e3557bb,lhasa,33
296,0724948de3506f43cda65804efe79b9b,miniature_poodle,74
6342,9fd140da24aebf0273ba365ef3e28a19,yorkshire_terrier,63
8223,cd980b3f39d9ae566444c3ebb9096acf,flat-coated_retriever,102
2427,3c66b664d8de58637b83e78643079428,silky_terrier,34
9431,eca1b1928e00e376ac39717ea933b57b,briard,119
4344,6c6020f8dfe89f93a249ca5c385abf60,leonberg,13
6942,ae2099cd620c148c433235f85019e151,leonberg,13
6660,a745bd8479c64408093c2116a58e38f6,groenendael,61
6621,a671803d1eed0aada084f65eb084ba28,siberian_husky,24
5869,941c912029f030c71f748d7affd35fbe,miniature_pinscher,16
1052,1a1539a4f40e4417dd88ffee4a255175,lakeland_terrier,21
2243,38041ed0cab315d037a2e79dabd7fa6c,giant_schnauzer,114
4571,72545a82eda975364c5d6758fbe22af0,collie,42
3971,62a5a90155e6358b980d951612a79e45,chow,27
1715,2a9c12d4c284c8d80844a8797daf7f4c,irish_terrier,62
6429,a2257c79556052121735b812de9ddbbb,kuvasz,107
8543,d686e2bf8438d2a5c29924efca616708,schipperke,43
6212,9ca7fa5c1ec7340c2ede88de2a2c55cc,flat-coated_retriever,102
4363,6cc27c87f5f463567bb64c338436488a,saluki,20
9201,e7518def797fd4193bebc97d52ecd66f,bernese_mountain_dog,4
65,019ff93e03802e661577b5869e099dcb,rhodesian_ridgeback,38
6951,ae68592523bcc268bdbeec99665b44c8,collie,42
1656,2918212b7adcfefa9640c778c21cbf6b,redbone,103
3290,51c7cc8287f557d11958afa02dd82c31,doberman,96
2136,352a38f2e08a6e001ecccc15a826c147,cardigan,86
1604,27943110bcfed97bd1daa662a484d870,old_english_sheepdog,40
