,id,breed,breed_int
5447,8977f6e2feaf60efc628ff91440ff64e,norwegian_elkhound,25
70,01b36cb1b80ab8c3a7d2b7128ad21bdc,samoyed,9
1476,24a1283f33d45f06ac05078d79fb77ed,tibetan_terrier,10
6109,9a18a07e133f715bee957cfa12ae92c9,english_foxhound,47
10013,fb23c7c26cc49324b9081e2086b32409,blenheim_spaniel,17
5786,9236bd07cce91361f798145b5edb8a78,briard,119
9363,eada9c7e7e1d9fde5df22b28e0ca9341,samoyed,9
7965,c72cad3c532886e10001f99c4a954156,irish_wolfhound,19
8266,cef7b5d4e9d1d08d16611fbe6ca26440,toy_terrier,77
3771,5da9cb489b6d6be58b7ecd643f69c46e,silky_terrier,34
8745,db3cb1060eb49e6fbdbe08082b8626d1,gordon_setter,65
2070,33bfdc291f229759f2f93edd86125157,whippet,23
1696,2a21a6ca07560ad9cbda9d17cf975b1a,blenheim_spaniel,17
6297,9ef443276459fc1a2a45ea2f3456375a,newfoundland,32
4235,6972c90ba01fc7b846c70912b5e65a9e,rhodesian_ridgeback,38
2179,369b617a81c09d79ac0d9d85f3907e22,saint_bernard,52
5496,8aa65793a60f8feb59925d6ece493bf0,doberman,96
6509,a3d7422ab0cc1dd638c56759d5f278b1,norfolk_terrier,53
3966,62759db195cd415727d87d344726f5ea,tibetan_mastiff,112
10193,ff4bb57ce419cd637dd511a1b5474bff,appenzeller,81
6886,acfe87af21ad64e518f9ca6a64d728bd,golden_retriever,117
7882,c531e6e15b507dc9b26ea1036f9317c4,saint_bernard,52
3267,512abc982895061782c9bd51d38cf5c6,norwich_terrier,78
2500,3e4d6953e9fe6a3275aae55346c07293,otterhound,111
9277,e8e9ea1506e0ad9382665b2690ecb4e9,chihuahua,106
4833,79413f5137ea4e706ae922fe62f044ec,rottweiler,85
691,10edc6f98c2423e4e195e09a86b0d292,affenpinscher,71
3137,4d7e33eab8e3864aa2e901b3f59ba4ef,cocker_spaniel,95
4887,7a9f629102866bbfc0cb0fcf734172ef,norfolk_terrier,53
9722,f4aa5ed5ebff85d0f8b4d1ed111831df,english_springer,93
6821,ab52a394113d5f6964070d2dd98d845a,scotch_terrier,58
1935,2fbd0bd840f1b4f80656d90fcc6bcfd5,standard_schnauzer,101
7179,b3e2de0e9d1a5c6c180277b87b85971f,shih-tzu,5
90,022b34fd8734b39995a9f38a4f3e7b6b,maltese_dog,1
9472,ed894588cade79d0253082f96f2a6310,siberian_husky,24
4456,6f3d31094ddb18242cc01c7d4934b163,airedale,11
2285,38ecebe27257f12dd04dbcdd19b2dad3,samoyed,9
8478,d4cc7be2d2a5a82d840c5d0d6438dab4,irish_wolfhound,19
9083,e467353f2da5b49fc7a8e9835b22fe0e,sealyham_terrier,37
6370,a08fc31fdfab13d99e36a64abb4b6dfc,malinois,98
181,0440acb104d7346ccc9bba0716603f6a,norwich_terrier,78
2933,4870139299e458b90e24ef7e46e52635,boxer,91
615,0f0effd9b5d25fdab84c2a8ae17d6deb,bouvier_des_flandres,46
3063,4b7957fb0c72b7e7bd5607b581609310,boxer,91
7047,b0b7aaaa673295ace0ae4d9f248b71f1,siberian_husky,24
7236,b54c71c47f3d46a3bf72fbd9301de6fa,komondor,115
7493,bbf96da4759da24dbd84cce870b0f9b1,japanese_spaniel,15
2000,31a133a9110c151f40464e3e2915030e,appenzeller,81
2151,35a0bcee4ba829dfe6806e31a8337ed5,malamute,67
6689,a7dc3f5d620fd4ce214f7a043372d485,redbone,103
6937,ae1a8d64cea83e9f1bda35351d2174d7,silky_terrier,34
2718,43001021a32eba308d3653e811038a55,basenji,8
8669,d979688962729fa2cf50af1c9b478dca,chow,27
7018,b0000c33070ce6ccf2ab25e10b7affde,curly-coated_retriever,100
3367,538670ae06458f36996434f21a94b6d1,malamute,67
5082,80bc4b4ef5c00755160238d26ca6a3a7,irish_wolfhound,19
9304,e996402cf7fa66f23a8415c9007e06db,greater_swiss_mountain_dog,56
506,0c286c574ef09562c123dafe5ce6ac23,keeshond,66
5235,840db91ba4600148f3dcb06ec419b421,pomeranian,6
8910,df823d73ef4bdeda8b61e3435db0ee6b,soft-coated_wheaten_terrier,105
4035,64644021b0fc03719953cb793ff920f5,pomeranian,6
7509,bc408c0d39c5c9c8e184d83c45ff891a,basset,59
6872,ac85c489cb78fce3b455bfbba0d02094,boxer,91
6811,ab16b0a2feea44546a293be0cf233261,ibizan_hound,30
571,0e0e44349e6955bea9fea91de26a6980,briard,119
730,12078d0ea135483e4bc48e2f13678588,clumber,68
5682,8f3854aaa58f727a9ca017c25595a345,airedale,11
3029,4aea562f9a665aa4d73e9e80f5d55d9d,redbone,103
4717,7662c0c55bbc3130972f9477891db973,norwich_terrier,78
8839,dd82e748363c70f532e630c5197dd789,west_highland_white_terrier,64
8834,dd68215c1ac5b073fc42202f229bc283,vizsla,109
7174,b3ce89788191e0f62e14820abd176628,norwegian_elkhound,25
4346,6c64891ca0533329953af8297dd1d373,papillon,22
8618,d8689e70969ba9533bcabee3cfbf697c,chesapeake_bay_retriever,54
2894,4792cc9e614c5aa380ce532a2b182e16,pembroke,29
7694,c099b358d9f75595c1de41b5b27bfd36,maltese_dog,1
9353,ea9ae902f4ca9241c1187992c51db9bb,weimaraner,48
4003,6369e971e2913e63c674ad94393aedda,vizsla,109
2900,47d189e84639fc3f7f2937deb7b5eacd,irish_setter,39
9935,f9a2d5a36d32c2c1285cf46fe05972cb,cocker_spaniel,95
9449,ecefbe28f3b43d4394e6052802bcd042,german_short-haired_pointer,90
9006,e229e4628facf3fb9cd030e0ac484722,pug,26
1866,2e007b1898639501474d2199a46d7c93,brittany_spaniel,99
4591,72b686a08819ef2fbd4c01e96290de7c,american_staffordshire_terrier,97
4069,652a57b9fb2fcffeae3b2e601464a885,briard,119
7052,b0ee2f2ae56110de3409f31e26a8704a,australian_terrier,18
9454,ed142580e8aef16f8bae1e29381d807a,english_setter,55
5386,87f0a743d0bec944c4bfae7ff5f5c0b2,lhasa,33
103,0270276158566af50ef48b1284c998d6,wire-haired_fox_terrier,60
2365,3af26e391f207a075751b2465ef2f09c,soft-coated_wheaten_terrier,105
8978,e167b2451fa1a46c231f4a628800b5db,african_hunting_dog,44
9633,f25b4df00f4afe17ad37fb49a86c9ec1,sealyham_terrier,37
9286,e91b2802897234af87d09702a6b23b16,african_hunting_dog,44
4323,6bdcca5bd7620bc23e53220610922a72,labrador_retriever,51
